,Country,Language,Year,Value
1803,Australia,French,2001,18934.0
1804,Australia,German,2001,35674.0
1806,Australia,Gujarati,2001,2890.0
1809,Australia,Hindi,2001,24370.0
1811,Australia,Hungarian,2001,11373.0
1812,Australia,Indonesian,2001,18541.0
1815,Australia,Khmer,2001,10621.0
1822,Australia,Malayalam,2001,1529.0
1826,Australia,Marathi,2001,1178.0
1827,Australia,Nepali,2001,1613.0
1833,Australia,Polish,2001,27107.0
1835,Australia,Punjabi,2001,8079.0
1836,Australia,Romanian,2001,5060.0
1837,Australia,Russian,2001,15595.0
1843,Australia,Spanish,2001,45213.0
1845,Australia,Tamil,2001,12143.0
1846,Australia,Telugu,2001,2033.0
1847,Australia,Thai,2001,6736.0
1850,Australia,Ukrainian,2001,4805.0
1851,Australia,Urdu,2001,7061.0
1866,Australia,Arabic,2001,100643.0
1870,Australia,Bengali,2001,4999.0
1876,Australia,Czech,2001,3715.0
1878,Australia,English,2001,7603509.0
1881,Australia,French,2001,20709.0
1882,Australia,German,2001,40769.0
1884,Australia,Gujarati,2001,2605.0
1887,Australia,Hindi,2001,23448.0
1889,Australia,Hungarian,2001,13111.0
1890,Australia,Indonesian,2001,20183.0
1893,Australia,Khmer,2001,11361.0
1900,Australia,Malayalam,2001,1439.0
1904,Australia,Marathi,2001,1087.0
1905,Australia,Nepali,2001,883.0
1911,Australia,Polish,2001,31949.0
1913,Australia,Punjabi,2001,6817.0
1914,Australia,Romanian,2001,5208.0
1915,Australia,Russian,2001,19194.0
1921,Australia,Spanish,2001,48380.0
1923,Australia,Tamil,2001,11930.0
1924,Australia,Telugu,2001,1451.0
1925,Australia,Thai,2001,10613.0
1928,Australia,Ukrainian,2001,5920.0
1929,Australia,Urdu,2001,5424.0
1944,Australia,Arabic,2001,206932.0
1948,Australia,Bengali,2001,11609.0
1954,Australia,Czech,2001,6819.0
1956,Australia,English,2001,12839175.0
1959,Australia,French,2001,37059.0
1960,Australia,German,2001,66427.0
1962,Australia,Gujarati,2001,5459.0
1965,Australia,Hindi,2001,47352.0
1967,Australia,Hungarian,2001,23245.0
1968,Australia,Indonesian,2001,38022.0
1971,Australia,Khmer,2001,21563.0
1978,Australia,Malayalam,2001,2952.0
1982,Australia,Marathi,2001,2255.0
1983,Australia,Nepali,2001,2481.0
1989,Australia,Polish,2001,57454.0
1991,Australia,Punjabi,2001,13910.0
1992,Australia,Romanian,2001,9924.0
1993,Australia,Russian,2001,33983.0
1999,Australia,Spanish,2001,91684.0
2001,Australia,Tamil,2001,23973.0
2002,Australia,Telugu,2001,3475.0
2003,Australia,Thai,2001,16851.0
2006,Australia,Ukrainian,2001,10323.0
2007,Australia,Urdu,2001,12353.0
