,Country,Language,Year,Value
481,Australia,Other,2011,45680
482,Australia,Cook Islands Maori,2011,2360
483,Australia,Indo-Aryan,2011,1756
484,Australia,Serbo-Croatian,2011,3484
485,Australia,Lao,2011,5032
486,Australia,Non-verbal/inadequately described,2011,10047
487,Australia,"Southern Asian, nfd",2011,3906
488,Australia,African Languages (excl. North Africa),2011,37381
489,Australia,Dari,2011,9544
490,Australia,Auslan,2011,4715
491,Australia,Min Nan,2011,8998
492,Australia,Total,2011,19126752
493,Australia,Albanian,2011,8680
494,Australia,Arabic,2011,284072
495,Australia,Armenian,2011,9650
496,Australia,Assyrian,2011,21201
497,Australia,Australian Indigenous languages,2011,24594
498,Australia,Afrikaans,2011,32638
499,Australia,Bengali,2011,35515
500,Australia,Bosnian,2011,16169
501,Australia,Burmese,2011,12258
502,Australia,Cantonese,2011,261545
503,Australia,Chinese,2011,23563
504,Australia,Creole,2011,2304
505,Australia,Croatian,2011,59143
506,Australia,Danish,2011,5106
507,Australia,Dutch,2011,32703
508,Australia,English,2011,14392487
509,Australia,Fijian,2011,6614
510,Australia,Pilipino,2011,53673
511,Australia,Finnish,2011,5343
512,Australia,French,2011,54552
513,Australia,German,2011,71206
514,Australia,Greek,2011,247618
515,Australia,Gujarati,2011,34111
516,Australia,Hakka,2011,8873
517,Australia,Hebrew,2011,9392
518,Australia,Hindi,2011,110474
519,Australia,Hungarian,2011,19966
520,Australia,Indonesian,2011,55001
521,Australia,Italian,2011,283321
522,Australia,Japanese,2011,42357
523,Australia,Kannada,2011,5905
524,Australia,Khmer,2011,28961
525,Australia,Korean,2011,79039
526,Australia,Kurd,2011,4563
527,Australia,Latvian,2011,3416
528,Australia,Macedonian,2011,67842
529,Australia,Malay,2011,15971
530,Australia,Malayalam,2011,24913
531,Australia,Maltese,2011,31228
532,Australia,Mandarin,2011,333438
533,Australia,Maori,2011,9441
534,Australia,Marathi,2011,8546
535,Australia,Nepali,2011,27032
536,Australia,Norwegian,2011,2516
537,Australia,Not stated,2011,953891
538,Australia,Persian,2011,34283
539,Australia,Polish,2011,49223
540,Australia,Pashto,2011,4774
541,Australia,Portuguese,2011,32715
542,Australia,Punjabi,2011,69748
543,Australia,Romanian,2011,11842
544,Australia,Russian,2011,43031
545,Australia,Samoan,2011,36148
546,Australia,Serbian,2011,53998
547,Australia,Sinhalese,2011,47924
548,Australia,Slovak,2011,4786
549,Australia,Slovenian,2011,3954
550,Australia,Spanish,2011,114775
551,Australia,Swedish,2011,6810
552,Australia,Tagalog,2011,79591
553,Australia,Tamil,2011,49880
554,Australia,Telugu,2011,18630
555,Australia,Thai,2011,35305
556,Australia,Tongan,2011,15649
557,Australia,Turkish,2011,58805
558,Australia,Ukrainian,2011,7471
559,Australia,Urdu,2011,36525
560,Australia,Vietnamese,2011,230577
561,Australia,Other,2011,89010
562,Australia,Cook Islands Maori,2011,4561
563,Australia,Indo-Aryan,2011,4178
564,Australia,Serbo-Croatian,2011,6414
565,Australia,Lao,2011,9369
566,Australia,Non-verbal/inadequately described,2011,20786
567,Australia,"Southern Asian, nfd",2011,7994
568,Australia,African Languages (excl. North Africa),2011,73000
569,Australia,Dari,2011,20118
570,Australia,Auslan,2011,7778
571,Australia,Min Nan,2011,16269
572,Australia,Total,2011,9395295
573,Australia,Albanian,2011,4376
574,Australia,Arabic,2011,145492
575,Australia,Armenian,2011,4579
576,Australia,Assyrian,2011,10324
577,Australia,Australian Indigenous languages,2011,11718
578,Australia,Afrikaans,2011,16195
579,Australia,Bengali,2011,19596
580,Australia,Bosnian,2011,7932
581,Australia,Burmese,2011,5929
582,Australia,Cantonese,2011,122767
583,Australia,Chinese,2011,11514
584,Australia,Creole,2011,1086
585,Australia,Croatian,2011,28581
586,Australia,Danish,2011,2416
587,Australia,Dutch,2011,14551
588,Australia,English,2011,7056586
589,Australia,Fijian,2011,3267
590,Australia,Pilipino,2011,21831
591,Australia,Finnish,2011,2322
592,Australia,French,2011,26146
593,Australia,German,2011,32526
594,Australia,Greek,2011,120923
595,Australia,Gujarati,2011,18457
596,Australia,Hakka,2011,4360
597,Australia,Hebrew,2011,4937
598,Australia,Hindi,2011,57449
599,Australia,Hungarian,2011,8957
600,Australia,Indonesian,2011,25633
601,Australia,Italian,2011,135524
602,Australia,Japanese,2011,17353
603,Australia,Kannada,2011,3042
604,Australia,Khmer,2011,13593
605,Australia,Korean,2011,37464
606,Australia,Kurd,2011,2411
607,Australia,Latvian,2011,1368
608,Australia,Macedonian,2011,33766
609,Australia,Malay,2011,7295
610,Australia,Malayalam,2011,12752
611,Australia,Maltese,2011,14850
612,Australia,Mandarin,2011,152853
613,Australia,Maori,2011,4579
614,Australia,Marathi,2011,4459
615,Australia,Nepali,2011,15530
616,Australia,Norwegian,2011,1101
617,Australia,Not stated,2011,511746
618,Australia,Persian,2011,17602
619,Australia,Polish,2011,21533
620,Australia,Pashto,2011,2662
621,Australia,Portuguese,2011,15873
622,Australia,Punjabi,2011,41359
623,Australia,Romanian,2011,5640
624,Australia,Russian,2011,18546
625,Australia,Samoan,2011,17628
626,Australia,Serbian,2011,26691
627,Australia,Sinhalese,2011,24539
628,Australia,Slovak,2011,2192
629,Australia,Slovenian,2011,1810
630,Australia,Spanish,2011,54444
631,Australia,Swedish,2011,3018
632,Australia,Tagalog,2011,32932
633,Australia,Tamil,2011,25591
634,Australia,Telugu,2011,10499
635,Australia,Thai,2011,12231
636,Australia,Tongan,2011,7685
637,Australia,Turkish,2011,29451
638,Australia,Ukrainian,2011,3092
639,Australia,Urdu,2011,20465
640,Australia,Vietnamese,2011,109594
641,Australia,Other,2011,45239
642,Australia,Cook Islands Maori,2011,2235
643,Australia,Indo-Aryan,2011,2444
644,Australia,Serbo-Croatian,2011,3045
645,Australia,Lao,2011,4426
646,Australia,Non-verbal/inadequately described,2011,11247
647,Australia,"Southern Asian, nfd",2011,4167
648,Australia,African Languages (excl. North Africa),2011,35934
649,Australia,Dari,2011,10592
650,Australia,Auslan,2011,3419
651,Australia,Min Nan,2011,7334
652,Australia,Total,2011,9731457
653,Australia,Albanian,2011,4304
654,Australia,Arabic,2011,138580
655,Australia,Armenian,2011,5071
656,Australia,Assyrian,2011,10877
657,Australia,Australian Indigenous languages,2011,12876
658,Australia,Afrikaans,2011,16443
659,Australia,Bengali,2011,15919
660,Australia,Bosnian,2011,8237
661,Australia,Burmese,2011,6329
662,Australia,Cantonese,2011,138778
663,Australia,Chinese,2011,12049
664,Australia,Creole,2011,1218
665,Australia,Croatian,2011,30562
666,Australia,Danish,2011,2690
667,Australia,Dutch,2011,18152
668,Australia,English,2011,7335901
669,Australia,Fijian,2011,3347
670,Australia,Pilipino,2011,31842
671,Australia,Finnish,2011,3021
672,Australia,French,2011,28406
673,Australia,German,2011,38680
674,Australia,Greek,2011,126695
675,Australia,Gujarati,2011,15654
676,Australia,Hakka,2011,4513
677,Australia,Hebrew,2011,4455
678,Australia,Hindi,2011,53025
679,Australia,Hungarian,2011,11009
680,Australia,Indonesian,2011,29368
681,Australia,Italian,2011,147797
682,Australia,Japanese,2011,25004
683,Australia,Kannada,2011,2863
684,Australia,Khmer,2011,15368
685,Australia,Korean,2011,41575
686,Australia,Kurd,2011,2152
687,Australia,Latvian,2011,2048
688,Australia,Macedonian,2011,34076
689,Australia,Malay,2011,8676
690,Australia,Malayalam,2011,12161
691,Australia,Maltese,2011,16378
692,Australia,Mandarin,2011,180585
693,Australia,Maori,2011,4862
694,Australia,Marathi,2011,4087
695,Australia,Nepali,2011,11502
696,Australia,Norwegian,2011,1415
697,Australia,Not stated,2011,442145
698,Australia,Persian,2011,16681
699,Australia,Polish,2011,27690
700,Australia,Pashto,2011,2112
701,Australia,Portuguese,2011,16842
702,Australia,Punjabi,2011,28389
703,Australia,Romanian,2011,6202
704,Australia,Russian,2011,24485
705,Australia,Samoan,2011,18520
706,Australia,Serbian,2011,27307
707,Australia,Sinhalese,2011,23385
708,Australia,Slovak,2011,2594
709,Australia,Slovenian,2011,2144
710,Australia,Spanish,2011,60331
711,Australia,Swedish,2011,3792
712,Australia,Tagalog,2011,46659
713,Australia,Tamil,2011,24289
714,Australia,Telugu,2011,8131
715,Australia,Thai,2011,23074
716,Australia,Tongan,2011,7964
717,Australia,Turkish,2011,29354
718,Australia,Ukrainian,2011,4379
719,Australia,Urdu,2011,16060
720,Australia,Vietnamese,2011,120983
721,Australia,Other,2011,43771
722,Australia,Cook Islands Maori,2011,2326
723,Australia,Indo-Aryan,2011,1734
724,Australia,Serbo-Croatian,2011,3369
725,Australia,Lao,2011,4943
726,Australia,Non-verbal/inadequately described,2011,9539
727,Australia,"Southern Asian, nfd",2011,3827
728,Australia,African Languages (excl. North Africa),2011,37066
729,Australia,Dari,2011,9526
730,Australia,Auslan,2011,4359
731,Australia,Min Nan,2011,8935
732,Australia,Total,2011,2331963
733,Australia,Albanian,2011,253
734,Australia,Arabic,2011,2768
735,Australia,Armenian,2011,48
736,Australia,Assyrian,2011,268
737,Australia,Australian Indigenous languages,2011,37098
738,Australia,Afrikaans,2011,2319
739,Australia,Bengali,2011,95
740,Australia,Bosnian,2011,87
741,Australia,Burmese,2011,69
742,Australia,Cantonese,2011,1856
743,Australia,Chinese,2011,178
744,Australia,Creole,2011,1668
745,Australia,Croatian,2011,2342
746,Australia,Danish,2011,632
747,Australia,Dutch,2011,4417
748,Australia,English,2011,2081897
749,Australia,Fijian,2011,198
750,Australia,Pilipino,2011,1662
751,Australia,Finnish,2011,606
752,Australia,French,2011,2946
753,Australia,German,2011,8885
754,Australia,Greek,2011,4453
755,Australia,Gujarati,2011,85
756,Australia,Hakka,2011,38
757,Australia,Hebrew,2011,260
758,Australia,Hindi,2011,776
759,Australia,Hungarian,2011,889
760,Australia,Indonesian,2011,791
761,Australia,Italian,2011,16211
762,Australia,Japanese,2011,1225
763,Australia,Kannada,2011,16
764,Australia,Khmer,2011,540
765,Australia,Korean,2011,633
766,Australia,Kurd,2011,22
767,Australia,Latvian,2011,204
768,Australia,Macedonian,2011,976
769,Australia,Malay,2011,572
770,Australia,Malayalam,2011,170
771,Australia,Maltese,2011,3141
772,Australia,Mandarin,2011,2390
773,Australia,Maori,2011,490
774,Australia,Marathi,2011,16
775,Australia,Nepali,2011,93
776,Australia,Norwegian,2011,137
777,Australia,Not stated,2011,123197
778,Australia,Persian,2011,196
779,Australia,Polish,2011,1401
780,Australia,Pashto,2011,22
781,Australia,Portuguese,2011,566
782,Australia,Punjabi,2011,1421
783,Australia,Romanian,2011,393
784,Australia,Russian,2011,958
785,Australia,Samoan,2011,347
786,Australia,Serbian,2011,1071
787,Australia,Sinhalese,2011,234
788,Australia,Slovak,2011,199
